index,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,target,target_by_group
g-C3N4_Ag,47,11,5,11,1.93,1.3045,6.78,7.5762,1.36,1234.93,2435,10490,107.87,268,1.622035,3.728209,2.257253,2.890972,3.034967,3.136352,0.200492,1.006435,0.766401,2
g-C3N4_Cd,48,12,5,12,1.69,-0.725,7.36,8.9938,1.4,594.22,1040,8650,112.41,269,1.691398,3.460822,2.39711,2.407635,2.616732,2.724423,0.114226,1.005282,0.015332,0
g-C3N4_Hf,72,4,6,4,1.3,0.017,16.2,6.8251,1.64,2506,4876,13310,178.49,267,1.804335,2.986074,2.337403,2.337591,2.357523,2.36316,0.077798,1.296606,-0.546873,2
g-C3N4_Ta,73,5,6,5,1.5,0.323,13.1,7.5496,1.58,3290,5731,16650,180.95,268,1.73222,2.899944,2.3327,2.335233,2.335562,2.335868,0.087087,1.091886,-0.444054,2
g-C3N4_W ,74,6,6,6,2.36,0.8163,11.1,7.864,1.5,3695,5828,19250,183.84,271,1.667512,2.831076,2.312099,2.312152,2.320106,2.322997,0.09501,1.028333,-0.562576,2
g-C3N4_Re,75,7,6,7,1.9,0.0604,9.7,7.8335,1.41,3459,5869,21020,186.21,270,1.622383,2.583173,2.060593,2.067546,2.504904,2.532609,0.133907,1.242578,-0.656428,2
g-C3N4_Os,76,8,6,8,2.2,1.1,8.5,8.4382,1.36,3306,5285,22610,190.23,265,1.580996,2.543104,2.03989,2.0416,2.440415,2.449586,0.126796,1.166088,-0.572089,2
g-C3N4_Ir,77,9,6,9,2.2,1.5644,7.6,8.967,1.32,2739,4701,22650,192.22,266,1.586308,2.61254,1.955368,1.969416,2.273824,2.473589,0.125557,1.462405,0.346085,2
g-C3N4_Pt,78,10,6,10,2.28,2.1251,6.5,8.9588,1.3,2041.4,4098,21090,195.08,267,1.542209,2.321938,2.046353,2.240163,2.455408,2.736798,0.148773,1.036423,-0.315236,2
g-C3N4_Au,79,11,6,11,2.54,2.3086,5.8,9.2255,1.3,1337.33,3129,19300,196.97,268,1.567352,3.756723,2.193388,3.017123,3.035195,3.215403,0.222689,1.005085,-0.826831,2
