index,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,target,target_by_group
N4_Mo,42,6,5,6,2.16,0.7473,12.8,7.0924,1.46,2896,4912,10280,95.95,203,1.715977,2.962334,2.009833,2.009856,2.010054,2.010074,0.048214,3.517142,-0.328023,2
N4_Tc,43,7,5,7,1.9,0.55,11.4,7.28,1.38,2430,4538,11500,98,202,1.624406,2.695943,1.976643,1.976682,1.976778,1.976806,0.059143,2.533285,-0.348321,2
N4_Ru,44,8,5,8,2.2,1.0464,9.6,7.3605,1.36,2607,4423,12370,101.07,203,1.579724,2.593777,1.953618,1.953627,1.95377,1.953799,0.063693,2.130227,-0.451034,2
N4_Rh,45,9,5,9,2.28,1.1429,8.6,7.4589,1.34,2237,3968,12450,102.91,204,1.52905,2.534072,1.954077,1.954077,1.955054,1.955056,0.072836,1.50389,-0.15525,1
N4_Pd,46,10,5,10,2.2,0.5621,4.8,8.3369,1.3,1828.05,3236,12023,106.42,199,1.648402,2.675399,1.962148,1.962183,1.962966,1.962978,0.05292,3.108952,1.956683,2
N4_Ag,47,11,5,11,1.93,1.3045,6.78,7.5762,1.36,1234.93,2435,10490,107.87,200,1.61718,3.589731,2.396839,2.39791,2.400342,2.401322,0.111568,1.000998,0.925513,2
N4_Cd,48,12,5,12,1.69,-0.725,7.36,8.9938,1.4,594.22,1040,8650,112.41,201,1.693532,3.600303,2.361998,2.36232,2.364429,2.364576,0.096142,1.02345,0.128459,1
N4_Hf,72,4,6,4,1.3,0.017,16.2,6.8251,1.64,2506,4876,13310,178.49,199,1.865921,3.330152,2.107128,2.107264,2.108583,2.10872,0.037601,4.242913,-1.017191,2
N4_Ta,73,5,6,5,1.5,0.323,13.1,7.5496,1.58,3290,5731,16650,180.95,200,1.790565,3.093971,1.992899,1.993836,2.107068,2.10716,0.04356,3.918861,-0.969752,2
N4_W ,74,6,6,6,2.36,0.8163,11.1,7.864,1.5,3695,5828,19250,183.84,203,1.72305,2.986273,2.008862,2.008923,2.009636,2.00968,0.046921,3.621217,-0.823227,2
N4_Re,75,7,6,7,1.9,0.0604,9.7,7.8335,1.41,3459,5869,21020,186.21,202,1.642577,2.766893,1.984793,1.984805,1.98596,1.985974,0.057229,2.710741,-0.691264,2
N4_Os,76,8,6,8,2.2,1.1,8.5,8.4382,1.36,3306,5285,22610,190.23,197,1.608486,2.705759,1.967873,1.967876,1.967951,1.967955,0.060662,2.394788,-0.59014,2
N4_Ir,77,9,6,9,2.2,1.5644,7.6,8.967,1.32,2739,4701,22650,192.22,198,1.558071,2.583965,1.963602,1.963634,1.963649,1.963695,0.068941,1.733234,-0.261786,2
N4_Pt,78,10,6,10,2.28,2.1251,6.5,8.9588,1.3,2041.4,4098,21090,195.08,199,1.589445,2.636296,1.965889,1.965892,1.966934,1.967038,0.063794,2.121752,1.622867,2
N4_Au,79,11,6,11,2.54,2.3086,5.8,9.2255,1.3,1337.33,3129,19300,196.97,200,1.880423,2.887193,1.986162,1.9862,1.986865,1.986884,0.017276,4.892304,2.264791,2
